date;BEN;zscore_BEN;svm_BEN;fda_BEN;CO;zscore_CO;svm_CO;fda_CO;MXIL;zscore_MXIL;svm_MXIL;fda_MXIL;NO2;zscore_NO2;svm_NO2;fda_NO2;NO;zscore_NO;svm_NO;fda_NO;O3;zscore_O3;svm_O3;fda_O3;PM2_5;zscore_PM2_5;svm_PM2_5;fda_PM2_5;SO2;zscore_SO2;svm_SO2;fda_SO2;TOL;zscore_TOL;svm_TOL;fda_TOL
2017-03-31;0.36;0;0;1;0.21;0;0;0;0.55;0;0;0;30.0;0;0;0;23.0;0;0;0;38.0;0;0;0;13.0;0;0;0;4.0;0;0;0;2.88;0;0;0
2017-04-01;0.04;0;1;1;0.12;0;0;0;0.15;0;0;0;9.0;0;0;0;4.0;0;0;0;67.0;1;0;0;9.0;0;0;0;2.0;0;0;0;0.45;0;0;0
2017-04-02;0.08;0;0;1;0.12;0;0;0;0.12;0;0;0;4.0;0;0;0;2.0;0;1;0;71.0;1;0;0;9.0;0;0;0;2.0;0;0;0;0.19;0;1;0
2017-04-03;0.96;0;0;0;0.29;0;0;0;0.72;0;0;0;33.0;0;0;0;21.0;0;0;0;28.0;0;0;0;16.0;0;0;0;18.0;0;0;0;2.45;0;0;0
2017-04-04;0.66;0;0;0;0.32;0;0;0;0.43;0;0;0;24.0;0;0;0;13.0;0;0;0;39.0;0;0;0;20.0;0;0;0;16.0;0;0;0;1.61;0;0;0
2017-04-05;0.28;0;0;0;0.11;0;0;0;0.2;0;0;0;14.0;0;0;0;5.0;0;0;0;53.0;0;0;0;12.0;0;0;0;2.0;0;0;0;0.47;0;0;0
2017-04-06;0.33;0;0;0;0.14;0;0;0;0.31;0;0;0;23.0;0;0;0;19.0;0;0;0;40.0;0;0;0;17.0;0;0;0;3.0;0;0;0;1.3;0;0;0
2017-04-07;0.34;0;0;0;0.26;0;0;0;0.35;0;0;0;27.0;0;0;0;14.0;0;0;0;35.0;0;0;0;18.0;0;0;0;4.0;0;0;0;1.81;0;0;0
2017-04-08;0.65;0;0;0;0.34;0;0;0;0.51;0;0;0;31.0;0;0;0;17.0;0;0;0;38.0;0;0;0;19.0;0;0;0;10.0;0;0;0;2.44;0;0;0
2017-04-09;0.74;0;0;0;0.64;0;0;0;0.31;0;0;0;31.0;0;0;0;8.0;0;0;0;42.0;0;0;0;34.0;1;0;0;24.0;1;0;0;1.4;0;0;0
2017-04-10;0.31;0;0;0;0.39;0;0;0;0.25;0;0;0;18.0;0;0;0;5.0;0;0;1;55.0;0;0;0;27.0;0;0;0;6.0;0;0;1;1.03;0;0;0
2017-04-11;0.25;0;0;0;0.1;0;0;0;0.21;0;0;0;13.0;0;0;0;3.0;0;0;1;63.0;0;0;0;17.0;0;0;0;2.0;0;0;1;0.72;0;0;0
2017-04-12;0.28;0;0;0;0.39;0;0;0;0.25;0;0;0;16.0;0;0;0;4.0;0;0;1;53.0;0;0;0;30.0;1;0;0;5.0;0;0;1;0.77;0;0;0
2017-04-13;0.26;0;0;0;0.4;0;0;0;0.2;0;0;0;17.0;0;0;0;3.0;0;0;1;51.0;0;0;0;32.0;1;0;0;11.0;0;0;1;0.57;0;0;0
2017-04-14;0.28;0;0;0;0.21;0;0;0;0.45;0;0;0;16.0;0;0;0;2.0;0;1;1;53.0;0;0;0;31.0;1;0;0;4.0;0;0;1;0.51;0;0;0
2017-04-15;0.25;0;0;0;0.11;0;0;0;0.2;0;0;0;11.0;0;0;0;3.0;0;0;1;57.0;0;0;0;18.0;0;0;0;2.0;0;0;1;0.3;0;0;0
2017-04-16;0.26;0;0;0;0.11;0;0;0;0.24;0;0;0;12.0;0;0;0;7.0;0;0;1;41.0;0;0;0;13.0;0;0;0;2.0;0;0;1;1.02;0;0;0
2017-04-17;0.25;0;0;0;0.1;0;0;1;0.22;0;0;0;9.0;0;0;0;5.0;0;0;0;56.0;0;0;1;16.0;0;0;0;2.0;0;0;0;0.4;0;0;0
2017-04-18;0.25;0;0;0;0.1;0;0;1;0.2;0;0;0;8.0;0;0;0;3.0;0;0;0;65.0;0;0;1;19.0;0;0;0;2.0;0;0;0;0.29;0;0;0
2017-04-19;0.34;0;0;0;0.1;0;0;1;0.21;0;0;0;13.0;0;0;0;4.0;0;0;0;69.0;1;0;1;15.0;0;0;0;2.0;0;0;0;0.51;0;0;0
2017-04-20;0.29;0;0;0;0.11;0;0;1;0.25;0;0;0;20.0;0;0;0;8.0;0;0;0;56.0;0;0;1;23.0;0;0;0;6.0;0;0;0;0.67;0;0;0
2017-04-21;0.43;0;0;0;0.3;0;0;1;0.49;0;0;0;32.0;0;0;0;17.0;0;0;0;44.0;0;0;1;28.0;1;0;0;6.0;0;0;0;2.22;0;0;0
2017-04-22;0.38;0;0;0;0.43;0;0;1;0.42;0;0;0;30.0;0;0;0;10.0;0;0;0;45.0;0;0;1;23.0;0;0;0;15.0;0;0;0;2.36;0;0;0
2017-04-23;0.28;0;0;0;0.36;0;0;1;0.21;0;0;0;16.0;0;0;0;3.0;0;0;0;58.0;0;0;1;18.0;0;0;0;7.0;0;0;0;0.76;0;0;0
2017-04-24;0.33;0;0;0;0.56;0;0;1;0.42;0;0;0;32.0;0;0;0;14.0;0;0;0;26.0;0;0;0;21.0;0;0;0;5.0;0;0;0;2.48;0;0;0
2017-04-25;0.38;0;0;0;0.12;0;0;1;0.2;0;0;0;21.0;0;0;0;5.0;0;0;0;52.0;0;0;0;13.0;0;0;0;3.0;0;0;0;0.63;0;0;0
2017-04-26;0.32;0;0;0;0.11;0;0;1;0.2;0;0;0;16.0;0;0;0;6.0;0;0;0;53.0;0;0;0;8.0;0;0;0;2.0;0;0;0;0.38;0;0;0
2017-04-27;0.27;0;0;0;0.13;0;0;1;0.21;0;0;0;18.0;0;0;0;8.0;0;0;0;44.0;0;0;0;9.0;0;0;0;3.0;0;0;0;0.5;0;0;0
2017-04-28;0.29;0;0;0;0.14;0;0;1;0.27;0;0;0;21.0;0;0;0;14.0;0;0;0;42.0;0;0;0;9.0;0;0;0;2.0;0;0;0;0.81;0;0;0
2017-04-29;0.29;0;0;0;0.21;0;0;1;0.25;0;0;0;20.0;0;0;0;8.0;0;0;0;51.0;0;0;0;9.0;0;0;0;9.0;0;0;0;0.86;0;0;0
2017-04-30;0.29;0;0;0;0.13;0;0;1;0.23;0;0;0;10.0;0;0;0;3.0;0;0;0;64.0;0;0;0;5.0;0;0;0;14.0;0;0;0;0.6;0;0;0
2017-05-01;0.37;0;0;0;0.16;0;0;0;0.36;0;0;0;19.0;0;0;0;13.0;0;0;0;37.0;0;0;0;6.0;0;0;0;5.0;0;0;0;1.3;0;0;0
2017-05-02;0.37;0;0;0;0.16;0;0;0;0.36;0;0;0;19.0;0;0;0;13.0;0;0;0;37.0;0;0;0;9.0;0;0;0;5.0;0;0;0;1.3;0;0;0
2017-05-03;0.25;0;0;0;0.19;0;0;0;0.2;0;0;0;13.0;0;0;0;6.0;0;0;0;42.0;0;0;0;8.0;0;0;0;3.0;0;0;0;0.78;0;0;0
2017-05-04;0.55;0;0;0;0.27;0;0;0;0.28;0;0;0;20.0;0;0;0;13.0;0;0;0;37.0;0;0;0;17.0;0;0;0;3.0;0;0;0;1.68;0;0;0
2017-05-05;0.85;0;0;0;0.34;0;0;0;0.35;0;0;0;37.0;0;0;0;19.0;0;0;0;31.0;0;0;0;16.0;0;0;0;3.0;0;0;0;2.57;0;0;0
2017-05-06;0.3;0;0;0;0.32;0;0;0;0.26;0;0;0;29.0;0;0;0;7.0;0;0;0;28.0;0;0;0;11.0;0;0;0;3.0;0;0;0;1.19;0;0;0
2017-05-07;0.15;0;0;0;0.37;0;0;0;0.21;0;0;0;24.0;0;0;0;4.0;0;0;0;33.0;0;0;0;13.0;0;0;0;2.0;0;0;0;0.65;0;0;0
2017-05-08;0.22;0;0;0;0.35;0;0;0;0.25;0;0;0;30.0;0;0;0;13.0;0;0;0;28.0;0;0;0;15.0;0;0;0;2.0;0;0;0;1.34;0;0;0
2017-05-09;0.16;0;0;0;0.28;0;0;0;0.23;0;0;0;29.0;0;0;0;8.0;0;0;0;27.0;0;0;0;20.0;0;0;0;2.0;0;0;0;1.32;0;0;0
